2570,-490737,-470254,-446724,-423007,-399238,-375644,-352866,-330892,-310469,-291987,-275730,-261886,-250641,-242146,-236463,-233543,-233500,-236437,-242437,-999999,-263872,-279389,-298017,-319690,-344162,-370637,-398408,-426075,-451405,-473824,-491729,-504631,-512431
-484,-236081,-235770,-235470,-235197,-234937,-234697,-234486,-234322,-234134,-233996,-233886,-233780,-233690,-233629,-233590,-233555,-233538,-233558,-233570,-233606,-233661,-233715,-233801,-233903,-233987,-234134,-234257,-234413,-234558,-234724,-234886,-235067,-235279
2545,-494484,-475684,-453018,-429168,-404978,-380827,-357480,-335107,-314366,-295492,-278789,-264465,-252724,-999999,-237396,-234011,-233543,-236025,-241550,-250117,-261580,-276300,-294194,-315148,-338869,-999999,-392183,-419547,-445283,-468372,-487943,-502079,-511890
-416,-236974,-236716,-236476,-236238,-236037,-235850,-235700,-235549,-235418,-235307,-235223,-235119,-235061,-235011,-234982,-234967,-234933,-234935,-234964,-234995,-235036,-235095,-235163,-235214,-235290,-235383,-235486,-235585,-999999,-235824,-235953,-236106,-236266
1950,-413237,-394877,-376772,-999999,-342413,-326235,-310948,-296742,-283861,-272351,-262162,-253456,-246341,-240912,-237139,-235166,-234952,-236529,-239930,-245149,-252180,-261063,-271784,-284293,-298468,-314147,-331333,-349787,-368988,-388955,-409351,-430040,-450136
-777,-245223,-243990,-242866,-241822,-240857,-239970,-239174,-238457,-237811,-237238,-236758,-236352,-236017,-235733,-235530,-235380,-235312,-235312,-235386,-235510,-235721,-235990,-236294,-236675,-237093,-237602,-238147,-238729,-239383,-240074,-240808,-241627,-242454
1084,-299897,-292535,-285457,-278718,-272379,-266518,-261088,-256131,-251687,-247749,-244357,-241480,-239141,-237332,-236086,-235406,-235290,-235744,-236786,-238421,-240662,-243502,-246937,-250967,-255638,-260910,-266873,-273424,-280579,-288341,-296579,-305456,-314826
-753,-245369,-244251,-243197,-242219,-241326,-240502,-239768,-239103,-238505,-237986,-237511,-237120,-236811,-236574,-236395,-236282,-236214,-236226,-236297,-236413,-236605,-236851,-237136,-237494,-237891,-238345,-238842,-239396,-240019,-240653,-241347,-242066,-242841
-1315,-326890,-316429,-306591,-297312,-288684,-280607,-273171,-266417,-260297,-254953,-250228,-246184,-242853,-240172,-238169,-236863,-236219,-236275,-237004,-238388,-240455,-243185,-246558,-250546,-255177,-260346,-266187,-272564,-279533,-287007,-999999,-303438,-312369
-275,-236503,-236391,-236279,-236181,-236067,-235997,-235919,-235840,-235774,-235714,-235671,-235621,-235591,-235565,-235539,-235515,-235503,-235492,-235488,-235471,-235479,-235492,-235500,-235513,-235545,-235545,-999999,-235574,-235623,-235641,-235669,-235706,-235749
-2142,-451794,-431100,-999999,-390541,-370991,-352222,-334086,-316992,-301315,-286887,-274023,-262868,-253576,-246160,-240680,-237102,-235496,-235780,-237897,-241838,-247579,-255034,-264186,-274924,-287017,-300530,-315316,-331124,-347828,-365271,-383496,-402348,-421752
-522,-239811,-239366,-238952,-238563,-238203,-237866,-237578,-237304,-237075,-236838,-236638,-236475,-236317,-236198,-236089,-236012,-235969,-235934,-235926,-235921,-235950,-235988,-236066,-236137,-999999,-236375,-236504,-236661,-236808,-236994,-237156,-237364,-237590
-2723,-507276,-495062,-477206,-454441,-430569,-405914,-381042,-356721,-333344,-311970,-292647,-275880,-261940,-250946,-242969,-237972,-235963,-236923,-240915,-247837,-257637,-270220,-285421,-302932,-322532,-343655,-366372,-390292,-415024,-440131,-464786,-486988,-502728
-2301,-338630,-326192,-314613,-303853,-293900,-284749,-276367,-268750,-261863,-255749,-250383,-245775,-241916,-238775,-236369,-234690,-233745,-233512,-233985,-235189,-237079,-239701,-242995,-246951,-251592,-256906,-262898,-269543,-276853,-284862,-293494,-302786,-312638
-2697,-510174,-500948,-485780,-466108,-443697,-419255,-393374,-367196,-342085,-318730,-297795,-279483,-264058,-999999,-242617,-236528,-233526,-233526,-236533,-242397,-251227,-262871,-277309,-294285,-313629,-334975,-357818,-381447,-405525,-429682,-453312,-475689,-494435
-2270,-999999,-323154,-311783,-301220,-291493,-282550,-274405,-267041,-260580,-254780,-249817,-245578,-242114,-999999,-237368,-236111,-235558,-235691,-236545,-238069,-240272,-243176,-246729,-250978,-255835,-261416,-267637,-274526,-282041,-290200,-298943,-308339,-318390
-2107,-453482,-433939,-413758,-393433,-373246,-353765,-334937,-317352,-301387,-287020,-274271,-263273,-254087,-246718,-241180,-237475,-235518,-235370,-236983,-240364,-245506,-252341,-260899,-271161,-283129,-296624,-311574,-327731,-344985,-363007,-381670,-400668,-420038
-2356,-341960,-328538,-316075,-999999,-293974,-284286,-275506,-267547,-260467,-254228,-248806,-244193,-240380,-237311,-235107,-233634,-232912,-232960,-233747,-235291,-237568,-240597,-244363,-248856,-254086,-260067,-266835,-274285,-282488,-291393,-300808,-311093,-321993
-1262,-324021,-313768,-304031,-294854,-286256,-278168,-270718,-263927,-257797,-252366,-247576,-243475,-240082,-237284,-235152,-233687,-232840,-999999,-233091,-234180,-235860,-238160,-241015,-244480,-248504,-253096,-258252,-263965,-270130,-276865,-284087,-291824,-299936
-2362,-338283,-325039,-312744,-301417,-291028,-281532,-272883,-265151,-258266,-252221,-247029,-242620,-238995,-236157,-234092,-232817,-232300,-232543,-233525,-235246,-237717,-240912,-244857,-999999,-254926,-261101,-268027,-275658,-284073,-293154,-303000,-313365,-324577
1140,-307072,-298417,-290293,-282624,-275375,-268620,-262395,-256718,-251618,-247094,-243148,-239782,-237022,-234889,-233383,-232507,-232268,-232697,-233765,-235454,-237825,-240888,-244604,-999999,-254193,-260013,-266557,-273788,-281686,-290240,-299364,-309190,-319599
