base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y
2203,2008,15,16,-238375,-238442,2267,2070
2198,2605,16,16,-239899,-239899,2262,2667
261,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,2025,16,19,-235569,-235576,361.3,2087
-502,1179,15,16,-236981,-237139,-438,1240
-755,-1238,16,16,-236545,-236551,-691.3,-1173
-689,-2112,16,15,-235420,-235429,-628.7,-2048
-594,-2712,16,17,-236291,-236266,-523.2,-2648
-2338,-2730,16,16,-233957,-233985,-2275,-2665
-2361,-2135,16,16,-237251,-237277,-2298,-2070
-2380,-1277,16,16,-235997,-236000,-2317,-1213
-2324,1134,16,16,-234111,-234174,-2262,1198
-2261,1997,16,16,-235038,-235031,-2197,2059
-2271,2595,16,16,-236199,-236237,-2206,2657
2114,-2715,16,16,-236209,-236246,2179,-2650
2078,-2118,16,16,-234209,-234237,2144,-2053
2162,-1251,16,16,-234581,-234585,2227,-1186
2059,1159,16,16,-234324,-234325,2122,1222
2144,2008,16,16,-233496,-233513,2208,2071
2136,2603,16,16,-233682,-233722,2201,2664
-288,2629,16,19,-232666,-232667,-213,2692
33,2045,16,20,-231882,-231850,114.3,2107
-697,1217,16,17,-233701,-233673,-628.3,1282
249,-1182,16,19,-239030,-239017,325.9,-1118
-609,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-420,-2682,16,7,-237581,-237524,-392.1,-2617
-2278,-2721,16,16,-237737,-237724,-2214,-2657
-2306,-2128,16,16,-236266,-236314,-2242,-2062
2122,-2727,16,16,-236109,-236095,2186,-2660
2080,-2125,17,16,-236952,-237148,2143,-2058
2121,-1254,16,16,-238092,-238075,2185,-1189
2054,1172,16,16,-237994,-238000,2118,1236
2137,2021,NULL,NULL,NULL,NULL,NULL,NULL
2130,2614,16,16,-233440,-233454,2194,2678
-476,2637,16,14,-234705,-234708,-423.3,2701
-397,2050,16,17,-233285,-233292,-330.2,2113
-774,1222,16,16,-236163,-236159,-709.1,1286
-504,-1198,16,17,-238244,-238247,-432.9,-1132
-699,-2091,16,17,-236130,-236127,-632.8,-2025
-545,-2699,16,18,-234961,-234950,-472.2,-2633
-2322,-2733,16,16,-238496,-238522,-2256,-2668
-2357,-2137,16,17,-234320,-234377,-2291,-2071
-2316,-1279,16,16,-234269,-234275,-2253,-1215
-2378,1145,16,16,-235226,-235219,-2314,1209
-2301,2003,16,16,-232006,-232094,-2235,2066
-2313,2599,16,16,-235000,-234961,-2249,2661
2118,-2797,16,15,-232888,-232925,2180,-2729
2029,-2203,16,16,-233060,-233092,2092,-2139
2015,-1361,16,16,-233734,-233720,2079,-1296
2025,1103,16,16,-234404,-234428,2088,1166
2085,1998,15,16,-234115,-234697,2148,2059
