cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101
RECAL 3 0 9999 9999 64 4 80,-397,-252022,-251949,-251896,-251862,-251839,-251839,-251847,-251871,-251913,-251966,-252030,-252103,-252202,-252296,-252410,-252547,-252679,-252820,-252976,-253141,-253316,-253490,-253685,-253877,-254086,-254303,-254523,-254731,-254966,-255196,-255443,-255692,-255939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -378 64 4 80,2574,-518965,-518334,-516895,-510426,-500418,-479671,-449414,-416548,-384713,-355560,-329650,-307298,-288677,-273920,-262728,-255366,-251818,-252091,-256172,-264077,-275778,-291377,-310762,-333918,-360805,-391400,-424751,-458328,-487566,-504530,-512035,-516400,-518803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,299,-247408,-247359,-247310,-247270,-247241,-247237,-247234,-247245,-247263,-247305,-247360,-247436,-247510,-247606,-247722,-247850,-247997,-248160,-248347,-248556,-248780,-249026,-249288,-249585,-249890,-250220,-250580,-250957,-251368,-251800,-252253,-252743,-253258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 321 64 4 80,1995,-510756,-503061,-489782,-469861,-445749,-420198,-394488,-369924,-347283,-326542,-308061,-291866,-278042,-266618,-257736,-251256,-247275,-245797,-246834,-250416,-256506,-265135,-276199,-289676,-305483,-323700,-344197,-366831,-391446,-417768,-444327,-469779,-490759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,294,-246915,-246815,-246728,-246655,-246590,-246547,-246504,-246473,-246454,-246464,-246478,-246512,-246557,-246625,-246709,-246808,-246918,-247065,-247204,-247384,-247574,-247792,-248035,-248289,-248580,-248887,-249220,-249573,-249962,-250361,-250803,-251264,-251763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 328 64 4 80,1183,-366597,-353465,-340869,-328919,-317676,-307176,-297427,-288487,-280350,-273115,-266646,-261038,-256309,-252475,-249552,-247545,-246456,-246300,-247113,-248867,-251597,-255298,-259979,-265664,-272295,-279836,-288453,-298033,-308630,-320206,-332739,-346232,-360638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-640,-245979,-245336,-244771,-244271,-243823,-243434,-243121,-242851,-242648,-242500,-242409,-242368,-242383,-242443,-242556,-242721,-242935,-243185,-243490,-243840,-244234,-244660,-245138,-245649,-246206,-246810,-247444,-248111,-248817,-249562,-250335,-251141,-251989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -595 64 4 80,-1173,-329664,-318492,-308071,-298365,-289482,-281314,-274022,-267407,-261562,-256489,-252199,-248677,-245904,-243889,-242632,-242117,-242349,-243299,-244966,-247339,-250406,-254165,-258568,-263713,-269531,-276018,-283173,-290986,-299393,-308498,-318215,-328540,-339455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-636,-251329,-250816,-250376,-249990,-249672,-249412,-249205,-249044,-248944,-248892,-248893,-248946,-249047,-249199,-249397,-249625,-249911,-250245,-250610,-251029,-251470,-251954,-252483,-253044,-253645,-254284,-254965,-255675,-256419,-257193,-258001,-258837,-259684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -598 64 4 80,-2048,-476540,-455792,-432828,-409465,-386251,-364020,-343240,-324089,-306885,-291751,-278801,-268086,-259647,-253508,-249663,-248109,-248839,-251812,-257098,-264694,-274598,-286824,-301276,-318148,-337287,-358670,-382181,-407625,-433890,-459886,-482657,-499052,-508476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
