IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,mems_SW,sweep_count,peak_ok_count,peak_fail_count,Y_ok,X_ok,verdict,path_files,csv_lines
1.0705,476,MPO40-8,MPO88-8,27,8,59,1#MCS,RECAL 1 3 27 8 8 59,,2,2,0,1,1,OK,pm_pm_mcs1,1037;1038
1.0705,476,MPO40-8,MPO88-8,27,8,59,2#MCS,RECAL 1 4 27 8 8 59,,2,2,0,1,1,OK,pm_pm_mcs2,2333;2334
0.3226,477,MPO40-9,MPO88-9,27,9,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.3226,477,MPO40-9,MPO88-9,27,9,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.3226,477,MPO40-9,MPO88-9,27,9,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.3226,477,MPO40-9,MPO88-9,27,9,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.3226,477,MPO40-9,MPO88-9,27,9,59,1#MCS,RECAL 1 3 27 9 9 59,,2,2,0,1,1,OK,pm_pm_mcs1,1039;1040
0.3226,477,MPO40-9,MPO88-9,27,9,59,2#MCS,RECAL 1 4 27 9 9 59,,2,2,0,1,1,OK,pm_pm_mcs2,2335;2336
0.2104,478,MPO40-10,MPO88-10,27,10,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.2104,478,MPO40-10,MPO88-10,27,10,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.2104,478,MPO40-10,MPO88-10,27,10,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.2104,478,MPO40-10,MPO88-10,27,10,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.2104,478,MPO40-10,MPO88-10,27,10,59,1#MCS,RECAL 1 3 27 10 10 59,,2,2,0,1,1,OK,pm_pm_mcs1,1041;1042
0.2104,478,MPO40-10,MPO88-10,27,10,59,2#MCS,RECAL 1 4 27 10 10 59,,2,2,0,1,1,OK,pm_pm_mcs2,2337;2338
0.5507,479,MPO40-11,MPO88-11,27,11,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.5507,479,MPO40-11,MPO88-11,27,11,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.5507,479,MPO40-11,MPO88-11,27,11,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.5507,479,MPO40-11,MPO88-11,27,11,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.5507,479,MPO40-11,MPO88-11,27,11,59,1#MCS,RECAL 1 3 27 11 11 59,,2,2,0,1,1,OK,pm_pm_mcs1,1043;1044
0.5507,479,MPO40-11,MPO88-11,27,11,59,2#MCS,RECAL 1 4 27 11 11 59,,2,2,0,1,1,OK,pm_pm_mcs2,2339;2340
0.9071,480,MPO40-12,MPO88-12,27,12,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.9071,480,MPO40-12,MPO88-12,27,12,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.9071,480,MPO40-12,MPO88-12,27,12,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.9071,480,MPO40-12,MPO88-12,27,12,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.9071,480,MPO40-12,MPO88-12,27,12,59,1#MCS,RECAL 1 3 27 12 12 59,,2,2,0,1,1,OK,pm_pm_mcs1,1045;1046
0.9071,480,MPO40-12,MPO88-12,27,12,59,2#MCS,RECAL 1 4 27 12 12 59,,2,2,0,1,1,OK,pm_pm_mcs2,2341;2342
1.0357,481,MPO41-1,MPO89-1,27,13,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
