line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1914,RECAL 3 1 9999 2381 64 4 80,1,9999,2381,0,64,4,80,2141.000000,33,1,Ok,232157.000000,NonMono,16,-222114.000000,15.794402,16,2204.177610,5,[14]=-225321;[15]=-222704;[16]=-222114;[17]=-223518;[18]=-226897
1915,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2324.000000,33,1,Ok,102840.000000,NonMono,16,-226165.000000,15.520468,16,2386.081873,7,[13]=-228290;[14]=-226892;[15]=-226186;[16]=-226165;[17]=-226866;[18]=-228290;[19]=-230450
1916,RECAL 3 1 9999 2386 64 4 80,1,9999,2386,0,64,4,80,2776.000000,33,1,Ok,269717.000000,NonMono,15,-225390.000000,15.283199,15,2837.132796,5,[13]=-233911;[14]=-227967;[15]=-225390;[16]=-226086;[17]=-230057
1917,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,152.000000,33,0,ParabolaNotDownward,971.000000,Flat,10,-233796.000000,,,,0,
1918,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,16.000000,101,1,Ok,11383.000000,NonMono,42,-233784.000000,45.046408,45,196.185630,33,[26]=-234087;[27]=-234077;[28]=-234081;[29]=-234024;[30]=-234009;[31]=-233990;[32]=-233973;[33]=-233946;[34]=-233930;[35]=-233917;[36]=-233888;[37]=-233847;[38]=-233838;[39]=-233817;[40]=-233806;[41]=-233796;[42]=-233784;[43]=-233787;[44]=-233797;[45]=-233788;[46]=-233792;[47]=-233789;[48]=-233797;[49]=-233810;[50]=-233813;[51]=-233841;[52]=-233866;[53]=-233900;[54]=-233927;[55]=-233967;[56]=-234009;[57]=-234086;[58]=-234100
1919,RECAL 3 0 9999 196 64 4 80,0,9999,196,0,64,4,80,132.000000,33,0,ParabolaNotDownward,502.000000,Flat,16,-233757.000000,,,,0,
1920,RECAL 3 1 9999 193 64 4 80,1,9999,193,0,64,4,80,2812.000000,33,1,Ok,262190.000000,NonMono,16,-233780.000000,15.852579,16,2875.410316,5,[14]=-239440;[15]=-234938;[16]=-233780;[17]=-235911;[18]=-241361
1921,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,74.000000,33,0,ParabolaNotDownward,331.000000,Flat,19,-227762.000000,,,,0,
1922,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,-62.000000,101,1,Ok,6214.000000,NonMono,52,-227772.000000,51.451250,51,143.804998,33,[36]=-227883;[37]=-227883;[38]=-227856;[39]=-227864;[40]=-227842;[41]=-227832;[42]=-227819;[43]=-227820;[44]=-227816;[45]=-227830;[46]=-227809;[47]=-227791;[48]=-227786;[49]=-227782;[50]=-227779;[51]=-227778;[52]=-227772;[53]=-227781;[54]=-227782;[55]=-227778;[56]=-227810;[57]=-227823;[58]=-227827;[59]=-227863;[60]=-227861;[61]=-227881;[62]=-227911;[63]=-227939;[64]=-227978;[65]=-228009;[66]=-228064;[67]=-228120;[68]=-228176
1923,RECAL 3 0 9999 144 64 4 80,0,9999,144,0,64,4,80,80.000000,33,0,ParabolaNotDownward,402.000000,Flat,16,-227771.000000,,,,0,
1924,RECAL 3 1 9999 148 64 4 80,1,9999,148,0,64,4,80,2191.000000,33,1,Ok,243724.000000,NonMono,15,-227539.000000,15.383126,15,2252.532505,5,[13]=-233396;[14]=-229399;[15]=-227539;[16]=-227780;[17]=-230105
1925,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-213.000000,33,0,ParabolaNotDownward,337.000000,Flat,15,-225723.000000,,,,0,
1926,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,-349.000000,101,1,Ok,6805.000000,NonMono,49,-225721.000000,48.460697,48,-155.157212,33,[33]=-226118;[34]=-226070;[35]=-226009;[36]=-225973;[37]=-225927;[38]=-225884;[39]=-225861;[40]=-225818;[41]=-225795;[42]=-225794;[43]=-225780;[44]=-225760;[45]=-225749;[46]=-225750;[47]=-225752;[48]=-225750;[49]=-225721;[50]=-225745;[51]=-225751;[52]=-225761;[53]=-225751;[54]=-225762;[55]=-225776;[56]=-225789;[57]=-225787;[58]=-225805;[59]=-225824;[60]=-225851;[61]=-225868;[62]=-225871;[63]=-225883;[64]=-225908;[65]=-225933
1927,RECAL 3 0 9999 -155 64 4 80,0,9999,-155,0,64,4,80,-219.000000,33,0,ParabolaNotDownward,432.000000,Flat,14,-225725.000000,,,,0,
1928,RECAL 3 1 9999 -154 64 4 80,1,9999,-154,0,64,4,80,1310.000000,33,1,Ok,105766.000000,NonMono,16,-225751.000000,15.583478,16,1372.333911,7,[13]=-228200;[14]=-226615;[15]=-225807;[16]=-225751;[17]=-226429;[18]=-227951;[19]=-230234
1929,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,607.000000,33,1,Ok,8913.000000,NonMono,14,-228023.000000,14.035569,14,663.142275,23,[3]=-230682;[4]=-230261;[5]=-229846;[6]=-229469;[7]=-229160;[8]=-228874;[9]=-228621;[10]=-228417;[11]=-228245;[12]=-228140;[13]=-228045;[14]=-228023;[15]=-228026;[16]=-228133;[17]=-228244;[18]=-228419;[19]=-228656;[20]=-228943;[21]=-229273;[22]=-229683;[23]=-230103;[24]=-230616;[25]=-231194
1930,RECAL 3 1 9999 663 64 4 80,1,9999,663,0,64,4,80,-1266.000000,33,1,Ok,76052.000000,NonMono,16,-227999.000000,15.971003,16,-1202.115987,9,[12]=-232746;[13]=-230640;[14]=-229170;[15]=-228282;[16]=-227999;[17]=-228313;[18]=-229222;[19]=-230685;[20]=-232745
1931,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,577.000000,33,1,Ok,7260.000000,NonMono,15,-227825.000000,14.423340,14,634.693362,23,[4]=-229903;[5]=-229522;[6]=-229212;[7]=-228928;[8]=-228643;[9]=-228428;[10]=-228234;[11]=-228068;[12]=-227962;[13]=-227877;[14]=-227842;[15]=-227825;[16]=-227886;[17]=-227965;[18]=-228111;[19]=-228291;[20]=-228518;[21]=-228782;[22]=-229088;[23]=-229452;[24]=-229879;[25]=-230335;[26]=-230838
