# PM MCS1 (target=3): 32x18=576; ch1 1..32 (blocks of 18), ch2/ch3 1..18 paired, ch4=ch1+32.
# ch1=[1#1x64] ch2=[1#MCS] ch3=[2#MCS] ch4=[2#1x64]
target_index,ch1,ch2,ch3,ch4
3,22,10,10,54
3,22,11,11,54
3,22,12,12,54
3,22,13,13,54
3,22,14,14,54
3,22,15,15,54
3,22,16,16,54
3,22,17,17,54
3,22,18,18,54
3,23,1,1,55
3,23,2,2,55
3,23,3,3,55
3,23,4,4,55
3,23,5,5,55
3,23,6,6,55
3,23,7,7,55
3,23,8,8,55
3,23,9,9,55
3,23,10,10,55
3,23,11,11,55
3,23,12,12,55
3,23,13,13,55
3,23,14,14,55
3,23,15,15,55
3,23,16,16,55
3,23,17,17,55
3,23,18,18,55
3,24,1,1,56
3,24,2,2,56
3,24,3,3,56
3,24,4,4,56
3,24,5,5,56
3,24,6,6,56
3,24,7,7,56
3,24,8,8,56
3,24,9,9,56
3,24,10,10,56
3,24,11,11,56
3,24,12,12,56
3,24,13,13,56
3,24,14,14,56
3,24,15,15,56
3,24,16,16,56
3,24,17,17,56
3,24,18,18,56
3,25,1,1,57
3,25,2,2,57
3,25,3,3,57
3,25,4,4,57
3,25,5,5,57
3,25,6,6,57
3,25,7,7,57
3,25,8,8,57
3,25,9,9,57
3,25,10,10,57
3,25,11,11,57
3,25,12,12,57
3,25,13,13,57
3,25,14,14,57
3,25,15,15,57
3,25,16,16,57
3,25,17,17,57
3,25,18,18,57
3,26,1,1,58
3,26,2,2,58
3,26,3,3,58
3,26,4,4,58
3,26,5,5,58
3,26,6,6,58
3,26,7,7,58
3,26,8,8,58
3,26,9,9,58
3,26,10,10,58
3,26,11,11,58
3,26,12,12,58
3,26,13,13,58
3,26,14,14,58
3,26,15,15,58
3,26,16,16,58
3,26,17,17,58
3,26,18,18,58
3,27,1,1,59
3,27,2,2,59
3,27,3,3,59
3,27,4,4,59
3,27,5,5,59
3,27,6,6,59
3,27,7,7,59
3,27,8,8,59
3,27,9,9,59
3,27,10,10,59
3,27,11,11,59
3,27,12,12,59
3,27,13,13,59
3,27,14,14,59
3,27,15,15,59
3,27,16,16,59
3,27,17,17,59
3,27,18,18,59
3,28,1,1,60
3,28,2,2,60
3,28,3,3,60
3,28,4,4,60
3,28,5,5,60
3,28,6,6,60
3,28,7,7,60
3,28,8,8,60
3,28,9,9,60
3,28,10,10,60
3,28,11,11,60
3,28,12,12,60
3,28,13,13,60
3,28,14,14,60
3,28,15,15,60
3,28,16,16,60
3,28,17,17,60
3,28,18,18,60
3,29,1,1,61
3,29,2,2,61
3,29,3,3,61
3,29,4,4,61
3,29,5,5,61
3,29,6,6,61
3,29,7,7,61
3,29,8,8,61
3,29,9,9,61
3,29,10,10,61
3,29,11,11,61
3,29,12,12,61
3,29,13,13,61
3,29,14,14,61
3,29,15,15,61
3,29,16,16,61
3,29,17,17,61
3,29,18,18,61
3,30,1,1,62
3,30,2,2,62
3,30,3,3,62
3,30,4,4,62
3,30,5,5,62
3,30,6,6,62
3,30,7,7,62
3,30,8,8,62
3,30,9,9,62
3,30,10,10,62
3,30,11,11,62
3,30,12,12,62
3,30,13,13,62
3,30,14,14,62
3,30,15,15,62
3,30,16,16,62
3,30,17,17,62
3,30,18,18,62
3,31,1,1,63
3,31,2,2,63
3,31,3,3,63
3,31,4,4,63
3,31,5,5,63
3,31,6,6,63
3,31,7,7,63
3,31,8,8,63
3,31,9,9,63
3,31,10,10,63
3,31,11,11,63
3,31,12,12,63
3,31,13,13,63
3,31,14,14,63
3,31,15,15,63
3,31,16,16,63
3,31,17,17,63
3,31,18,18,63
3,32,1,1,64
3,32,2,2,64
3,32,3,3,64
3,32,4,4,64
3,32,5,5,64
3,32,6,6,64
3,32,7,7,64
3,32,8,8,64
3,32,9,9,64
3,32,10,10,64
3,32,11,11,64
3,32,12,12,64
3,32,13,13,64
3,32,14,14,64
3,32,15,15,64
3,32,16,16,64
3,32,17,17,64
3,32,18,18,64
