cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 0 9999 64 4 80,629,-21172,-20131,-19124,-18181,-17283,-16443,-15664,-14936,-14274,-13675,-13140,-12669,-12267,-11937,-11675,-11468,-11344,-11288,-11307,-11403,-11570,-11821,-12148,-12547,-13030,-13605,-14253,-15004,-15856,-16796,-17830,-18970,-20197
RECAL 3 1 698 64 4 80,2011,-251864,-237869,-220824,-202007,-183296,-162282,-141152,-120928,-101874,-84248,-68326,-53916,-41394,-30818,-22246,-15731,-11312,-9042,-8948,-11136,-15654,-22568,-31910,-43713,-58077,-74991,-94122,-116049,-140465,-166866,-191845,-215520,-235385
RECAL 3 0 9999 64 4 80,572,-13931,-13021,-12152,-11311,-10519,-9776,-9091,-8443,-7850,-7306,-6816,-6379,-6000,-5684,-5425,-5227,-5097,-5030,-5022,-5087,-5216,-5421,-5694,-6042,-6458,-6957,-7531,-8176,-8902,-9696,-10587,-11560,-12605
RECAL 3 1 642 64 4 80,1148,-103122,-92748,-82711,-73121,-64060,-55553,-47643,-40357,-33691,-27685,-22274,-17562,-13568,-10301,-7781,-6016,-5026,-4808,-5379,-6751,-8961,-12006,-15881,-20637,-26277,-32800,-40099,-48296,-57422,-67438,-78383,-90220,-102869
RECAL 3 0 9999 64 4 80,-7,-4689,-4685,-4682,-4689,-4687,-4687,-4679,-4680,-4673,-4669,-4665,-4666,-999999,-4658,-4654,-4651,-4649,-4642,-4640,-4634,-4634,-4628,-4625,-4625,-4628,-4631,-4630,-4631,-4636,-4640,-4650,-4657,-4671
RECAL 3 1 85 64 4 80,-1304,-111945,-99605,-87922,-76865,-66523,-56937,-48112,-40187,-32971,-26557,-20960,-16199,-12261,-9143,-6820,-5314,-999999,-4763,-5724,-7507,-10099,-13512,-17727,-22672,-28467,-35054,-42402,-50535,-59407,-69022,-79335,-90212,-101644
RECAL 3 0 9999 64 4 80,426,-12005,-11535,-11094,-10672,-10269,-9891,-9545,-9215,-8922,-8645,-8390,-8163,-7967,-7805,-7659,-7552,-7477,-7430,-7419,-7446,-7505,-7601,-7735,-7918,-8126,-8378,-8671,-9011,-9379,-9804,-10275,-10788,-11347
RECAL 3 1 497 64 4 80,-2155,-231607,-212567,-191550,-170028,-146184,-123407,-102160,-82732,-65304,-50034,-36999,-26395,-17920,-11801,-8004,-6528,-7390,-10564,-16039,-23803,-33757,-45953,-60373,-77038,-95736,-116513,-139135,-162891,-186277,-207708,-227511,-243613,-255272
RECAL 3 0 9999 64 4 80,401,-17176,-16881,-16595,-16341,-16103,-15884,-15679,-15506,-15341,-15207,-15079,-14989,-14911,-14859,-14832,-14831,-14849,-14885,-14966,-15071,-15197,-15356,-15550,-15763,-16016,-16297,-16613,-16968,-17345,-17763,-18234,-18727,-19254
RECAL 3 1 460 64 4 80,-2753,-268662,-265361,-257350,-242463,-219083,-190707,-160462,-129933,-102541,-78836,-58730,-42285,-29500,-20371,-14886,-13020,-14740,-19967,-28833,-41273,-57297,-76965,-100154,-126861,-156866,-187812,-217106,-241389,-257451,-265104,-268454,-270344,-270896
RECAL 3 0 9999 64 4 80,-2173,-108365,-96812,-86258,-76593,-67758,-59751,-52543,-46130,-40407,-35447,-31238,-27766,-25045,-23071,-21807,-21270,-21453,-22370,-23997,-26322,-29393,-33192,-37711,-42970,-48939,-55592,-63000,-71186,-80131,-89885,-100418,-111833,-124004
