cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 1 -374 64 4 80,2636,-284354,-283942,-283969,-283672,-283086,-281545,-278214,-271006,-255927,-233532,-209897,-187900,-169014,-152429,-139046,-129183,-122905,-120313,-121490,-126518,-135469,-148471,-165368,-185502,-209268,-236098,-260883,-275084,-280613,-282902,-283441,-283706,-284200
RECAL 3 0 9999 64 4 80,-485,-119522,-119172,-118873,-118585,-118325,-118081,-117886,-117705,-117552,-117415,-117319,-117239,-117183,-117147,-117126,-117146,-117176,-117231,-117283,-117369,-117473,-117609,-117745,-117890,-118069,-118272,-118456,-118684,-118909,-119154,-119389,-119678,-119965
RECAL 3 1 -429 64 4 80,2049,-282307,-280399,-277125,-271543,-261827,-246594,-228688,-210158,-999999,-177478,-162544,-149572,-138703,-129959,-123382,-119115,-117150,-117479,-120183,-125310,-132912,-142985,-155532,-170624,-187181,-206310,-227374,-247707,-264377,-274142,-278714,-280827,-282417
RECAL 3 0 9999 64 4 80,-609,-119593,-118845,-118144,-117493,-116892,-116362,-115866,-115418,-115013,-114680,-114380,-114113,-113913,-113736,-113602,-113514,-113464,-113474,-113486,-113549,-113664,-113810,-113986,-114190,-114435,-114690,-114992,-115325,-115704,-116083,-116515,-116952,-117427
RECAL 3 1 -542 64 4 80,1207,-214559,-203597,-193095,-183761,-174565,-165227,-156637,-148837,-141763,-135441,-129872,-125024,-121008,-117827,-115519,-114049,-113455,-113749,-114930,-116978,-119953,-123881,-128755,-134529,-141262,-148950,-157640,-167100,-177496,-187454,-198747,-210999,-223519
RECAL 3 0 9999 64 4 80,-512,-119138,-118750,-118380,-118040,-117746,-117491,-117263,-117070,-116921,-116792,-116692,-116623,-116573,-116554,-116581,-116618,-116677,-116764,-116884,-117005,-117160,-117344,-117539,-117747,-117996,-118242,-118515,-118807,-119126,-119443,-119783,-120134,-120520
RECAL 3 1 -460 64 4 80,-1223,-191880,-182657,-173515,-164430,-156170,-148687,-141994,-136042,-130873,-126441,-122734,-119801,-117656,-116239,-115591,-115701,-116520,-118092,-120323,-123285,-127012,-131397,-136454,-142189,-148577,-155583,-163231,-171405,-180046,-188053,-197177,-206879,-216842
RECAL 3 0 9999 64 4 80,-884,-133035,-131412,-129931,-128581,-127344,-126216,-125214,-124332,-123536,-122874,-122318,-121874,-121537,-121299,-121134,-121065,-121102,-121214,-999999,-121722,-122101,-122561,-123134,-123771,-124524,-125337,-126248,-127231,-128279,-129413,-130579,-131856,-133198
RECAL 3 1 -823 64 4 80,-2107,-279864,-276515,-269352,-256599,-238285,-218715,-199533,-182737,-166923,-152993,-141458,-132289,-125483,-120946,-118721,-118754,-120981,-125483,-132123,-140932,-151854,-164904,-179812,-194923,-212228,-230253,-247604,-262287,-271843,-277198,-280080,-281915,-282980
RECAL 3 0 9999 64 4 80,-621,-134483,-133883,-133348,-132857,-132420,-132012,-131669,-131380,-131102,-130862,-130673,-130518,-130403,-130331,-130266,-130249,-130267,-130309,-130390,-130489,-130634,-130807,-131022,-131243,-131489,-131775,-132083,-132424,-132781,-133159,-133578,-133982,-134432
