line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
69,RECAL 3 1 9999 -2302 64 4 80,1,9999,-2302,0,64,4,80,-2256.000000,33,1,Ok,236393.000000,NonMono,16,-228080.000000,16.182021,16,-2191.271914,5,[14]=-232709;[15]=-229419;[16]=-228080;[17]=-228710;[18]=-231379
70,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2377.000000,33,1,Ok,85168.000000,NonMono,16,-229196.000000,16.192612,16,-2312.229551,7,[13]=-232586;[14]=-230779;[15]=-229662;[16]=-229196;[17]=-229400;[18]=-230256;[19]=-231759
71,RECAL 3 1 9999 -2312 64 4 80,1,9999,-2312,0,64,4,80,-1341.000000,33,1,Ok,85378.000000,NonMono,16,-229185.000000,15.763157,16,-1277.947372,7,[13]=-231785;[14]=-230226;[15]=-229357;[16]=-229185;[17]=-229675;[18]=-230873;[19]=-232735
72,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2388.000000,33,1,Ok,87366.000000,NonMono,16,-225798.000000,16.075261,16,-2323.698955,7,[13]=-228998;[14]=-227231;[15]=-226181;[16]=-225798;[17]=-226077;[18]=-227023;[19]=-228673
73,RECAL 3 1 9999 -2324 64 4 80,1,9999,-2324,0,64,4,80,1228.000000,33,1,Ok,96713.000000,NonMono,15,-225772.000000,15.489732,15,1289.958926,7,[12]=-229914;[13]=-227860;[14]=-226465;[15]=-225772;[16]=-225784;[17]=-226507;[18]=-227972
74,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2478.000000,33,1,Ok,94654.000000,NonMono,16,-229098.000000,16.005271,16,-2413.978914,7,[13]=-232322;[14]=-230544;[15]=-229456;[16]=-229098;[17]=-229463;[18]=-230542;[19]=-232378
75,RECAL 3 1 9999 -2414 64 4 80,1,9999,-2414,0,64,4,80,2131.000000,33,1,Ok,235343.000000,NonMono,15,-229002.000000,15.446166,15,2192.784664,5,[13]=-234813;[14]=-230914;[15]=-229002;[16]=-229117;[17]=-231265
76,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2417.000000,33,1,Ok,85240.000000,NonMono,16,-230539.000000,16.129914,16,-2352.480344,7,[13]=-233721;[14]=-232017;[15]=-230943;[16]=-230539;[17]=-230772;[18]=-231687;[19]=-233240
77,RECAL 3 1 9999 -2352 64 4 80,1,9999,-2352,0,64,4,80,2761.000000,33,1,Ok,264782.000000,NonMono,15,-230454.000000,15.458376,15,2822.833503,17,[7]=-348298;[8]=-322088;[9]=-299179;[10]=-279431;[11]=-263056;[12]=-249924;[13]=-240087;[14]=-233700;[15]=-230454;[16]=-230534;[17]=-233954;[18]=-240648;[19]=-250591;[20]=-263645;[21]=-279754;[22]=-298805;[23]=-320247
78,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2292.000000,33,1,Ok,141358.000000,NonMono,16,-223991.000000,15.760772,16,2355.043088,7,[13]=-227645;[14]=-225467;[15]=-224243;[16]=-223991;[17]=-224710;[18]=-226405;[19]=-229074
79,RECAL 3 1 9999 2355 64 4 80,1,9999,2355,0,64,4,80,-2873.000000,33,1,Ok,270845.000000,NonMono,16,-223959.000000,16.092426,16,-2808.630297,5,[14]=-231536;[15]=-226029;[16]=-223959;[17]=-225402;[18]=-230413
80,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2292.000000,33,1,Ok,150897.000000,NonMono,16,-219226.000000,15.796576,16,2355.186305,7,[13]=-223256;[14]=-220904;[15]=-219538;[16]=-219226;[17]=-219959;[18]=-221769;[19]=-224574
81,RECAL 3 1 9999 2355 64 4 80,1,9999,2355,0,64,4,80,-2293.000000,33,1,Ok,269617.000000,NonMono,16,-219211.000000,16.257249,16,-2227.971004,5,[14]=-225242;[15]=-221040;[16]=-219211;[17]=-219807;[18]=-222823
82,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2211.000000,33,1,Ok,144783.000000,NonMono,16,-218168.000000,15.779807,16,2274.119227,7,[13]=-221971;[14]=-219701;[15]=-218446;[16]=-218168;[17]=-218877;[18]=-220641;[19]=-223430
83,RECAL 3 1 9999 2274 64 4 80,1,9999,2274,0,64,4,80,-1496.000000,33,1,Ok,136324.000000,NonMono,16,-218117.000000,16.259026,16,-1430.963894,7,[13]=-223324;[14]=-220572;[15]=-218861;[16]=-218117;[17]=-218340;[18]=-219541;[19]=-221710
84,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2295.000000,33,1,Ok,155139.000000,NonMono,16,-217224.000000,15.870439,16,2358.481756,7,[13]=-221652;[14]=-219113;[15]=-217637;[16]=-217224;[17]=-217892;[18]=-219709;[19]=-222534
85,RECAL 3 1 9999 2358 64 4 80,1,9999,2358,0,64,4,80,944.000000,33,1,Ok,69082.000000,NonMono,16,-217217.000000,15.678482,16,1006.713930,9,[12]=-220329;[13]=-218873;[14]=-217853;[15]=-217308;[16]=-217217;[17]=-217610;[18]=-218479;[19]=-219831;[20]=-221665
86,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2214.000000,33,1,Ok,142377.000000,NonMono,16,-218932.000000,15.823190,16,2277.292760,7,[13]=-222847;[14]=-220563;[15]=-219257;[16]=-218932;[17]=-219603;[18]=-221329;[19]=-224059
87,RECAL 3 1 9999 2277 64 4 80,1,9999,2277,0,64,4,80,1916.000000,33,1,Ok,239003.000000,NonMono,16,-218909.000000,15.739993,16,1978.959973,5,[14]=-221694;[15]=-219357;[16]=-218909;[17]=-220350;[18]=-223718
88,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2287.000000,33,1,Ok,141149.000000,NonMono,16,-220419.000000,15.926391,16,2350.705565,7,[13]=-224654;[14]=-222257;[15]=-220862;[16]=-220419;[17]=-221002;[18]=-222594;[19]=-225206
89,RECAL 3 1 9999 2351 64 4 80,1,9999,2351,0,64,4,80,2548.000000,33,1,Ok,274685.000000,NonMono,16,-220441.000000,15.553363,16,2610.213451,17,[8]=-312473;[9]=-289676;[10]=-270158;[11]=-253977;[12]=-240869;[13]=-230892;[14]=-224155;[15]=-220672;[16]=-220441;[17]=-223576;[18]=-230127;[19]=-240008;[20]=-253500;[21]=-270607;[22]=-291450;[23]=-315676;[24]=-343064
90,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,939.000000,33,1,Ok,22006.000000,NonMono,16,-224193.000000,16.278588,16,1004.114350,13,[10]=-227282;[11]=-226381;[12]=-225648;[13]=-225055;[14]=-224617;[15]=-224323;[16]=-224193;[17]=-224230;[18]=-224443;[19]=-224807;[20]=-225324;[21]=-226046;[22]=-226896
91,RECAL 3 1 9999 1004 64 4 80,1,9999,1004,0,64,4,80,2586.000000,33,1,Ok,271460.000000,NonMono,16,-224189.000000,15.776660,16,2649.106641,5,[14]=-229394;[15]=-225125;[16]=-224189;[17]=-226662;[18]=-232593
92,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,733.000000,33,1,Ok,13729.000000,NonMono,16,-220391.000000,16.316970,16,798.267882,17,[8]=-223668;[9]=-222952;[10]=-222313;[11]=-221755;[12]=-221274;[13]=-220918;[14]=-220648;[15]=-220470;[16]=-220391;[17]=-220422;[18]=-220521;[19]=-220743;[20]=-221079;[21]=-221519;[22]=-222075;[23]=-222745;[24]=-223526
93,RECAL 3 1 9999 798 64 4 80,1,9999,798,0,64,4,80,1971.000000,33,1,Ok,249157.000000,NonMono,16,-220357.000000,15.529372,16,2033.117489,5,[14]=-222400;[15]=-220427;[16]=-220357;[17]=-222295;[18]=-226242
94,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,938.000000,33,1,Ok,25785.000000,NonMono,16,-219259.000000,15.851553,16,1001.406213,13,[10]=-222249;[11]=-221328;[12]=-220586;[13]=-219987;[14]=-219570;[15]=-219336;[16]=-219259;[17]=-219383;[18]=-219687;[19]=-220178;[20]=-220867;[21]=-221723;[22]=-222793
95,RECAL 3 1 9999 1001 64 4 80,1,9999,1001,0,64,4,80,1050.000000,33,1,Ok,86555.000000,NonMono,16,-219270.000000,15.583947,16,1112.335789,7,[13]=-221175;[14]=-219961;[15]=-219312;[16]=-219270;[17]=-219812;[18]=-220951;[19]=-222690
