line_no,cmd,sweep_mode,base_dac,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1539,RECAL 3 1 -2024 64 4 80,1,-2024,64,4,80,-1245.000000,33,1,Ok,100471.000000,NonMono,15,-17641.000000,14.708109,15,-1186.167565,30,[0]=-100797;[2]=-79252;[3]=-69734;[4]=-61016;[5]=-53171;[6]=-46136;[7]=-39890;[8]=-34496;[9]=-29813;[10]=-25904;[11]=-22758;[12]=-20364;[13]=-18723;[14]=-17817;[15]=-17641;[16]=-18189;[17]=-19468;[18]=-21459;[19]=-24162;[20]=-27550;[21]=-31640;[22]=-36416;[23]=-41854;[24]=-47859;[25]=-54586;[26]=-61929;[27]=-69910;[28]=-78463;[29]=-87605;[30]=-97225
1540,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2192.000000,33,1,Ok,89579.000000,NonMono,15,-16920.000000,15.249918,15,-2131.000327,31,[0]=-94902;[1]=-84695;[2]=-75235;[3]=-66528;[4]=-58536;[5]=-51408;[6]=-44883;[7]=-39077;[8]=-33949;[9]=-29512;[10]=-25746;[11]=-22660;[12]=-20230;[13]=-18490;[14]=-17386;[15]=-16920;[16]=-17092;[17]=-17896;[18]=-19328;[19]=-21381;[20]=-24057;[21]=-27316;[22]=-31252;[23]=-35825;[24]=-41012;[25]=-46827;[26]=-53294;[27]=-60409;[28]=-68185;[29]=-76734;[30]=-85961
1541,RECAL 3 1 -2131 64 4 80,1,-2131,64,4,80,1185.000000,33,1,Ok,120282.000000,NonMono,15,-16498.000000,14.959142,15,1244.836570,31,[0]=-102316;[1]=-91441;[2]=-81259;[3]=-71780;[4]=-63019;[5]=-55020;[6]=-47741;[7]=-41236;[8]=-35518;[9]=-30506;[10]=-26242;[11]=-22752;[12]=-20019;[13]=-18064;[14]=-16893;[15]=-16498;[16]=-16904;[17]=-18121;[18]=-20157;[19]=-23031;[20]=-26731;[21]=-31265;[22]=-36651;[23]=-42885;[24]=-49874;[25]=-57808;[26]=-66593;[27]=-76267;[28]=-86760;[29]=-98034;[30]=-110164
1542,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2098.000000,33,1,Ok,77747.000000,NonMono,15,-18551.000000,15.484025,15,-2036.063901,31,[0]=-91407;[1]=-82079;[2]=-73427;[3]=-65438;[4]=-58129;[5]=-51418;[6]=-45320;[7]=-39889;[8]=-35074;[9]=-30903;[10]=-27326;[11]=-24371;[12]=-22013;[13]=-20280;[14]=-19123;[15]=-18551;[16]=-18562;[17]=-19148;[18]=-20318;[19]=-22066;[20]=-24374;[21]=-27262;[22]=-30681;[23]=-34660;[24]=-39202;[25]=-44295;[26]=-49985;[27]=-56234;[28]=-63049;[29]=-70417;[30]=-78440
1543,RECAL 3 1 -2036 64 4 80,1,-2036,64,4,80,2028.000000,33,1,Ok,242570.000000,NonMono,16,-18464.000000,16.486699,16,2093.946798,33,[0]=-261034;[1]=-249750;[2]=-231307;[3]=-207761;[4]=-183923;[5]=-159032;[6]=-135061;[7]=-113422;[8]=-94127;[9]=-77051;[10]=-62113;[11]=-49403;[12]=-38853;[13]=-30477;[14]=-24332;[15]=-20317;[16]=-18464;[17]=-18763;[18]=-21230;[19]=-25874;[20]=-32722;[21]=-41618;[22]=-52790;[23]=-66156;[24]=-81685;[25]=-99280;[26]=-118987;[27]=-140757;[28]=-164319;[29]=-187655;[30]=-210390;[31]=-231447;[32]=-248292
1544,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2124.000000,33,1,Ok,78637.000000,NonMono,15,-26499.000000,15.334513,15,-2062.661949,31,[0]=-95451;[1]=-86537;[2]=-78287;[3]=-70690;[4]=-63785;[5]=-57412;[6]=-51657;[7]=-46512;[8]=-41978;[9]=-38027;[10]=-34662;[11]=-31895;[12]=-29662;[13]=-28026;[14]=-26977;[15]=-26499;[16]=-26591;[17]=-27255;[18]=-28497;[19]=-30308;[20]=-32654;[21]=-35558;[22]=-39034;[23]=-43064;[24]=-47680;[25]=-52865;[26]=-58618;[27]=-64980;[28]=-71852;[29]=-79280;[30]=-87326
1545,RECAL 3 1 -2063 64 4 80,1,-2063,64,4,80,2628.000000,33,1,Ok,246026.000000,NonMono,17,-24483.000000,17.085620,17,2696.342482,31,[2]=-269433;[3]=-268220;[4]=-263776;[5]=-250925;[6]=-225913;[7]=-194793;[8]=-164039;[9]=-134184;[10]=-108258;[11]=-86094;[12]=-67379;[13]=-52090;[14]=-40185;[15]=-31706;[16]=-26406;[17]=-24483;[18]=-25942;[19]=-30811;[20]=-39114;[21]=-50867;[22]=-66105;[23]=-84871;[24]=-106806;[25]=-132302;[26]=-161403;[27]=-191365;[28]=-221241;[29]=-246318;[30]=-261023;[31]=-266734;[32]=-269064
1546,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2242.000000,33,1,Ok,114481.000000,NonMono,17,-23170.000000,16.671035,17,2308.684141,30,[2]=-111205;[3]=-99395;[5]=-78345;[6]=-69188;[7]=-60856;[8]=-53394;[9]=-46777;[10]=-40987;[11]=-36019;[12]=-31855;[13]=-28495;[14]=-25942;[15]=-24215;[16]=-23297;[17]=-23170;[18]=-23866;[19]=-25380;[20]=-27746;[21]=-30956;[22]=-35013;[23]=-39944;[24]=-45799;[25]=-52553;[26]=-60251;[27]=-68922;[28]=-78592;[29]=-89315;[30]=-101109;[31]=-114085;[32]=-128085
1547,RECAL 3 1 2309 64 4 80,1,2309,64,4,80,-2773.000000,33,1,Ok,247439.000000,NonMono,15,-22577.000000,15.865568,16,-2709.537726,31,[0]=-268696;[1]=-265581;[2]=-259079;[3]=-246394;[4]=-227631;[5]=-203136;[6]=-176979;[7]=-147075;[8]=-119363;[9]=-94773;[10]=-73633;[11]=-56112;[12]=-42297;[13]=-32176;[14]=-25606;[15]=-22577;[16]=-23051;[17]=-26978;[18]=-34306;[19]=-44994;[20]=-59089;[21]=-76482;[22]=-96728;[23]=-120324;[24]=-146678;[25]=-174971;[26]=-200286;[27]=-224700;[28]=-244155;[29]=-257412;[30]=-265079
1548,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2152.000000,33,1,Ok,110964.000000,NonMono,17,-18895.000000,16.699014,17,2218.796058,31,[2]=-104835;[3]=-93542;[4]=-83033;[5]=-73318;[6]=-64538;[7]=-56399;[8]=-49056;[9]=-42493;[10]=-36750;[11]=-31789;[12]=-27627;[13]=-24259;[14]=-21712;[15]=-19944;[16]=-19012;[17]=-18895;[18]=-19600;[19]=-21136;[20]=-23529;[21]=-26767;[22]=-30808;[23]=-35747;[24]=-41609;[25]=-48381;[26]=-56110;[27]=-64828;[28]=-74549;[29]=-85346;[30]=-97235;[31]=-110305;[32]=-124631
